Date,Close,High,Low,Open,Volume
3/17/1980,1.038209677,1.057294538,1.034392842,1.034392842,62775
3/18/1980,1.045844078,1.053478046,1.038210208,1.038210208,64125
3/19/1980,1.061112404,1.064929439,1.053478531,1.053478531,40500
3/20/1980,1.05347836,1.061112232,1.049661522,1.061112232,18900
3/21/1980,1.076379538,1.076379538,1.053477931,1.053477931,97200
3/24/1980,1.049661279,1.068745856,1.049661279,1.068745856,90450
3/25/1980,1.045844078,1.053478046,1.042027242,1.049661209,72225
3/26/1980,1.05347836,1.061112232,1.038210518,1.04584439,31725
3/27/1980,1.045844078,1.049661209,1.015308599,1.049661209,62100
3/28/1980,1.034393072,1.045843775,1.015308305,1.045843775,84375
3/31/1980,1.064929128,1.068745965,1.045844254,1.045844254,55350
4/1/1980,1.05347836,1.084013946,1.04584439,1.064929266,126225
4/2/1980,1.091647744,1.091647744,1.06111216,1.06111216,58725
4/3/1980,1.133633971,1.145084874,1.1145491,1.1145491,311175
4/7/1980,1.141268253,1.160353131,1.129817346,1.133634381,115425
4/8/1980,1.122183561,1.133634469,1.122183561,1.133634469,218025
4/9/1980,1.106915355,1.114549225,1.084013743,1.114549225,181575
4/10/1980,1.129817843,1.137451916,1.106916118,1.106916118,191700
4/11/1980,1.129817843,1.152719766,1.126001004,1.129817843,112050
4/14/1980,1.126000643,1.129817481,1.118366769,1.129817481,18900
4/15/1980,1.099281073,1.118365938,1.099281073,1.118365938,63450
4/16/1980,1.118366122,1.118366122,1.106915122,1.106915122,30375
4/17/1980,1.099281073,1.110731972,1.095464237,1.110731972,43875
4/18/1980,1.091647744,1.110732521,1.091647744,1.099281616,27675
4/21/1980,1.064929128,1.087830839,1.053478223,1.087830839,83700
4/22/1980,1.099281073,1.099281073,1.053477768,1.064928668,122850
4/23/1980,1.099281073,1.099281073,1.072562536,1.099281073,132300
4/24/1980,1.091647744,1.099281616,1.076379903,1.099281616,209250
4/25/1980,1.076379538,1.087830537,1.072562701,1.087830537,21600
4/28/1980,1.099281073,1.10691494,1.087830369,1.087830369,141750
4/29/1980,1.103097916,1.106914751,1.095464049,1.099280884,45225
4/30/1980,1.114548564,1.118365694,1.091646966,1.103097863,85050
5/1/1980,1.133633971,1.141267841,1.118366232,1.118366232,48600
5/2/1980,1.14508462,1.152718586,1.125999851,1.133633719,49950
5/5/1980,1.206156611,1.206156611,1.160353273,1.160353273,621675
5/6/1980,1.187070727,1.229057188,1.187070727,1.206155491,143775
5/7/1980,1.206156611,1.221424456,1.18707183,1.18707183,483975
5/8/1980,1.202338696,1.217606431,1.194704828,1.206155728,36450
5/9/1980,1.194704413,1.194704413,1.179436585,1.194704413,24975
5/12/1980,1.190888405,1.194705242,1.164169662,1.194705242,27000
5/13/1980,1.187070727,1.20233846,1.179436763,1.190887759,40500
5/14/1980,1.190888405,1.206156146,1.190888405,1.190888405,61425
5/15/1980,1.187070727,1.198521625,1.179436763,1.190887759,37125
5/16/1980,1.183253407,1.187070339,1.175619544,1.187070339,11475
5/19/1980,1.209973097,1.2214241,1.183254548,1.183254548,51300
5/20/1980,1.187070727,1.209972326,1.187070727,1.209972326,85725
5/21/1980,1.17943716,1.19088816,1.171803292,1.187071128,40500
5/22/1980,1.190888405,1.198522275,1.167986695,1.179437403,143775
5/23/1980,1.206156611,1.213790485,1.194705703,1.194705703,113400
5/27/1980,1.194704413,1.206155309,1.194704413,1.206155309,57375
5/28/1980,1.213790417,1.213790417,1.198522671,1.198522671,135000
5/29/1980,1.198522925,1.217607513,1.179438042,1.213790674,108675
5/30/1980,1.194704413,1.194704413,1.17180272,1.194704413,80325
6/2/1980,1.187070727,1.209972326,1.179436763,1.194704594,107325
6/3/1980,1.194704413,1.198521444,1.183253616,1.187070548,101250
6/4/1980,1.225241184,1.225241184,1.190888757,1.194705595,143100
6/5/1980,1.221424937,1.23669269,1.221424937,1.225241777,95850
6/6/1980,1.282494903,1.282494903,1.217606716,1.221423848,205875
6/9/1980,1.221424937,1.248143603,1.213790963,1.248143603,150525
6/10/1980,1.240508437,1.244325273,1.209972669,1.221423668,110700
6/11/1980,1.263410211,1.290128752,1.229057604,1.240508506,140400
